INCHIKEY,SMILES
KNSAWRXCIVESQC-UHFFFAOYSA-N,O=C(O)CC1=C2C(C=CN2)=CC=C1
BPSLZWSRHTULGU-ZCFIWIBFSA-N,CN1[C@@H](C(O)=O)CCCC1
ONJSZLXSECQROL-UHFFFAOYSA-N,O=C(C1=CC=CC=C1O)NCC(O)=O
WPYMKLBDIGXBTP-UHFFFAOYSA-N,OC(C1=CC=CC=C1)=O
XMIIGOLPHOKFCH-UHFFFAOYSA-N,OC(CCC1=CC=CC=C1)=O
QIAFMBKCNZACKA-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)NCC(O)=O
HOFGLAYWQRGTKC-UHFFFAOYSA-N,O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O
WGNAKZGUSRVWRH-UHFFFAOYSA-N,O=S(OC1=CC=C(C)C=C1)(O)=O
ZMHLUFWWWPBTIU-UHFFFAOYSA-N,O=C(NCC(O)=O)C1=CC=C(O)C=C1
MZPWKJZDOCIALD-UHFFFAOYSA-N,O=S(OC1=C(O)C=CC=C1)(O)=O
QVWAEZJXDYOKEH-UHFFFAOYSA-N,O=C(CCC1=CC(O)=CC=C1)O
IETVQHUKTKKBFF-UHFFFAOYSA-N,O=S(OC1=CC=C(C=C)C=C1)(O)=O
DWZGLEPNCRFCEP-UHFFFAOYSA-N,O=S(OC1=CC=C(CC)C=C1)(O)=O
CYGSXDXRHXMAOV-UHFFFAOYSA-N,O=S(OC1=CC=CC=C1C)(O)=O
DMIBREBMNWKSQY-UHFFFAOYSA-N,O=S(OC1=CC(CC)=CC=C1)(O)=O
TXENPQZYQPWRAV-UHFFFAOYSA-N,O=S(OC1=C(CC)C=CC=C1)(O)=O
XDOFWFNMYJRHEW-UHFFFAOYSA-N,O=C(C1=CC=CC(O)=C1)NCC(O)=O
TZVUCGJSHGKWCJ-UHFFFAOYSA-N,OC1=C(OS(=O)(O)=O)C(C)=CC=C1
NCOMUGOPQPRVSE-UHFFFAOYSA-N,OC1=CC(C)=CC=C1OS(O)(=O)=O
HFDKYCXWNHNKAF-UHFFFAOYSA-N,OC1=C(C)C=CC=C1OS(O)(=O)=O
AQTYXAPIHMXAAV-UHFFFAOYSA-N,COC1=C(OS(O)(=O)=O)C=CC=C1
IQWLPDPKVFZEOK-UHFFFAOYSA-N,OS(OC1=CC=CC(CCC(O)=O)=C1)(=O)=O
LILXPJXZNJTPQZ-UHFFFAOYSA-N,CC1=CC=C(OS(=O)(O)=O)C(OC)=C1
IBEAHXYYSZWGED-UHFFFAOYSA-N,O=C(OC)C1=CC=C(OS(=O)(O)=O)C=C1
